label,prec,rec
B-LOC,0.79,0.73
B-ORG,0.77,0.58
B-PER,0.87,0.76
B-POS,0.94,0.92
B-TYP,1.00,1.00
I-LOC,0.67,0.74
I-ORG,0.79,0.59
I-PER,0.80,0.81
I-POS,1.00,1.00
I-TYP,1.00,1.00
O,0.97,0.99
